username,telefono,email,password,fecha_nacimiento,genero,terminos
Luis 2 Bovino,123145531315,bovino34fse@gmail.com,pbkdf2:sha256:1000000$H6TPwLmZWAckeBzU$eeed28f5886af45cd16ee71819874c84d8a6b98f06bd9ee7cf256e03c02618b9,12/12/1950,hombre,Aceptado
Luis3Bovino,134115166,juan.bovino3@qm.com,pbkdf2:sha256:1000000$UxeWOH6SOdicAcYR$9da0c447062a837343bbbb7dc42d2f5017cb9cec0de28339d08369fc136b09fa,12/12/1990,mujer,Aceptado
user1,1,user1@mail.com,pbkdf2:sha256:1000000$7WPdRADxJI0BwubC$34d6b28f570f09bcee22edf25785e70daddb29ba1655ccc0ae5a8a30fe0e3532,10/10/1990,hombre,Aceptado
Luis Maiz,1,maiz2@gmail.com,pbkdf2:sha256:1000000$jwiFWTnC54PUl0jI$9a97d02989b8889dd59c44057a1648c6028c405e1e3a8e16699befff5cd45d07,12/12/1990,mujer,Aceptado
Luis Maiz,1,maiz2@gmail.com,pbkdf2:sha256:1000000$GHDskqbHmd5Gca2e$0e04c5d4aa69111ea2ae96c0c63422bad42ef39645faa607517940aeee56d229,12/12/1990,mujer,Aceptado
Juan Cerdos ,1,cerdos_mx@gmail.com,pbkdf2:sha256:1000000$9EbSQFjQuevTpjqp$0c86d350f416136608fe0094127bfb85756c74fa2cad38585f7c6ce216850a7e,12/12/1990,personalizado,Aceptado
ee,w,22222@3333,pbkdf2:sha256:1000000$den6cgGfFhZPBS2o$30a9452d747cf82ca017a4c0c8294df31ebab3ebd9c06e5ef404bee55135854c,2/12/2000,hombre,Aceptado
Juan Huevo,234,huevo@gmail.com,pbkdf2:sha256:1000000$FQgWg5YK8KoKWVUx$45f139ad08c1b752ec0d2af3f93659caaf01efa98aa4536d7b6fd50d727abed5,12/12/2000,personalizado,Aceptado
Juana Luisa,13344,litchi@gmial.com,pbkdf2:sha256:1000000$OzthoL3P3j00BwnY$3e201094d2da79c6b61cd630db4caf028a3ab43e7e31e241ef378cc26e486b63,12/12/1990,mujer,Aceptado
Juana Luisa,13344,litchi@gmial.com,pbkdf2:sha256:1000000$TrBjavS8hf4HNneP$f488b234d1195cb0b4f95ae6ed9011cc57cf834139f22bd20fe6d26413035380,12/12/1990,mujer,Aceptado
Luis Naranjas,21413431441,citricos@gmail.com,pbkdf2:sha256:1000000$BFzDLzjIum2F03Hk$7d342d74eb4732dff503dd8abd3c08407d18d8a70aacb1c34d49871fbe72ded4,12/12/1990,hombre,Aceptado
